Country,Human Development Index (HDI) ,HDI Group,HDI rank,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank 2018,Change in HDI rank (2014-2019),Inequality-adjusted HDI,Gender Inequality Index,"Maternal mortality ratio (2017, deaths per 100,000 live births)","Adolescent birth rate (2015-2020, births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),"Female population with at least some secondary education (2015-2019, % ages 25 and older)","Male population with at least some secondary education (2015-2019, % ages 25 and older)",Female labour force participation rate (% ages 15 and older),Male labour force participation rate (% ages 15 and older),Population (millions),Average annual population growth 2015-2020 (%),Urban population (%),Population under age 5 years (millions),Population age 15-64 years (millions),Population age 65+ years (millions),Median age (years),"Total fertility rate (2015-2020, births per woman)","Infants exclusively breastfed (2010-2019, % ages 0–5 months)",Infants lacking DTP immunization (% of one-year-olds),Infants lacking measles immunization (% of one-year-olds),"Child malnutrition - stunting (moderate or severe) (2010-2019, % under age 5)","Infant mortality (2018, per 1,000 live births)","Child under 5y mortality (2018, per 1,000 live births)","Adult female mortality (2018, per 1,000 people)","Adult male mortality (2018, per 1,000 people)","Female mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Male mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Malaria incidence (2018, per 1,000 people at risk)","Tuberculosis incidence (2018, per 100,000 people)","HIV prevalence, adult (2018, % ages 15–49)",Healthy life expectancy at birth (years),"Current health expenditure (2017, % of GDP)","Adult literacy rate (2008-2018, % ages 15 and older)","Female youth literacy rate (2008-2018, % ages 15–24)","Male youth literacy rate (2008-2018, % ages 15–24)","Population with at least some secondary education (2015-2019, % ages 25 and older)","Pre-primary gross enrollment ratio (2014-2019, % of preschool-age children)","Primary gross enrollment ratio (2014-2019, % of primary school–age population)","Secondary gross enrollment ratio (2014-2019, % of secondary school–age population)","Tertiary gross enrollment ratio (2014-2019, % of tertiary school–age population)","Government expenditure on education  (2013-2018, % of GDP)",Total GDP (2017 PPP $ billions),Per capita GDP (2017 PPP $ billions),Annual growth in per capita GDP (%),"Total tax revenue (2014-2019, % of GDP)",Consumer price index (2010=100),Employment to population ratio (% ages 15 and older),"Prison population (2013-2018, per 100,000 people)","Homicide rate (2013-2018, per 100,000 people)","Female suicide rate (2016, per 100,000 people)","Male suicide rate (2016, per 100,000 people)","Depth of food deficit (Average dietary energy supply adequacy, 2017/2019, %)",Exports and imports (% of GDP),"Net migration rate (2015/2020, per 1,000 people)",Stock of immigrants (% of population),"Internet users (2018, % of population)","Female internet users (2018, % of female population)","Mobile phone subscriptions (2018, per 100 people)","Mobile phone subscriptions (2010-2018, % change)"
country,hdi,hdi_group,hdi_rank,life,educ_expected,educ_mean,gni,gni_rank_minus_hdi_rank,hdi_rank_18,hdi_change_1419,hdi_ineq,gii,mort_maternal,birth_adol,parl_f,educ_f,educ_m,labor_f,labor_m,pop,pop_change,urban,pop_lt5,pop_15_64,pop_ge65,age_median,fertility,breast,dtp_vax_no,measles_vax_no,stunt,mort_infant,mort_lt5,mort_adult_f,mort_adult_m,mort_ncd_f,mort_ncd_m,malaria,tb,hiv,life_healthy,cur_health_expen,literacy_adult,literacy_youth_f,literacy_youth_m,educ,educ0,educ1,educ2,educ3,educ_spending,gdp_total,gdp_percap,gdp_percap_growth,tax,cpi,employ,prison,homicide,suicide_f,suicide_m,food_deficit,trade,migration,immigrant,internet,internet_f,phone,phone_change
Lao People's Democratic Republic,0.613,Medium,137,67.92,10.98724,5.288,7413.33163,-16,137,1,0.461,0.459,185,65.41,27.51677852,35.14817308,46.24109253,76.744,80.213,7.169456,1.526,35.6,0.794312,4.554977,0.298524,24.37,2.7,44.379486,27,31,33.06322,37.629811,47.33331,156.747,205.59,739.4,829.9,4.20125,162,0.3,60.70728,2.528087,84.66104,90.50107,94.40438,40.54689158,46.68268,102.36099,67.36178,14.96676,2.93781,56.11094084,7826.388595,3.076179912,..,135.8662523,77.982,121.7,..,6.1,12.9,116,75.09189,-2.098,0.673342674,25.5104,..,51.8634,-12.1995
Eswatini (Kingdom of),0.611,Medium,138,60.19,11.8430625,6.855161078,7919.058294,-19,139,5,0.432,0.567,437,76.695,12.12121212,31.34,33.88,48.527,56.78,1.148133,0.992,24,0.143539,0.667682,0.046084,20.729,3.0257,63.823479,4,19,25.54947,43.022836,54.36517,309.883,479.936,740.2,892.8,0.84235,329,27.3,50.610605,6.930378,88.41938,96.69525,94.29769,33.82,..,115.16014,82.41221,..,7.12767,9.975069967,8688.101493,0.953111552,..,162.5968983,40.91,304,11.55752804,9.6,25.4,104,84.41334,-7.378,2.814141256,47,..,93.5273,25.3664
Ghana,0.611,Medium,138,64.07,11.48333,7.306,5268.919684,-3,138,-1,0.44,0.538,308,66.611,13.09090909,55.74,71.63471177,63.629,71.891,30.417858,2.191,56.7,4.134774,18.110123,0.942141,21.507,3.8928,42.904526,3,8,17.52627,34.91044,47.908264,214.333,254.991,735.5,669.3,224.34158,148,1.7,58.220487,3.26237,79.03964,92.20855,92.761,63.08,114.54705,104.84141,64.57235,15.69177,3.98944,164.6405428,5412.628122,4.200436672,12.56975,268.360848,64.862,48.6,2.091241017,2.9,15.8,132,71.37819,-0.339,1.534559175,39,..,137.517,67.1489
Vanuatu,0.609,Medium,140,70.47,11.73391,7.064846,3104.799016,20,140,-5,..,..,72,49.437,0,..,..,60.956,78.781,0.299882,2.494,25.4,0.041363,0.17295,0.010846,21.112,3.8,72.6,5,20,28.8958,22.264336,26.444505,102.42,151.626,575.3,769.9,3.98736,46,..,57.598622,3.316853,87.50631,96.59661,95.97657,0,90.19299,109.29187,54.20477,..,4.69537,0.942717343,3143.627636,0.439048652,18.00775,117.1296693,66.811,69.1,..,2.7,8.1,120,97.94714,0.415,1.08209229,25.7198,..,79.8627,7.9207
Timor-Leste,0.606,Medium,141,69.5,12.616098,4.794383,4440.457586,3,141,-12,0.436,..,142,33.785,38.46153846,..,..,61.882,72.721,1.29312,1.944,30.9,0.174072,0.755464,0.055427,20.795,4.1,50.172226,8,15,51.65047,39.319926,45.782928,117.478,168.862,549,633.6,0,498,..,61.650002,3.882293,68.06683,84.65051,82.45848,0,22.7661,115.30781,83.61746,..,4.12844,4.038552153,3123.109437,1.403119355,25.04703,145.3760087,64.275,54.8,4.095983095,3.7,9,97,63.00655,-4.283,0.650906838,27.4927,..,103.241,59.9845
Nepal,0.602,Medium,142,70.78,12.75613,5.014,3456.706213,13,143,0,0.446,0.452,186,65.121,33.53293413,29.27355191,44.16,82.8,85.104,28.608715,1.512,20.2,2.707524,18.498405,1.654331,24.633,1.934,65.157356,4,8,36.05395,26.673507,32.184664,129.611,167.316,563.2,723.1,0.43994,151,0.1,61.507135,5.553295,67.90843,90.88347,94.03428,36.21218287,87.42785,142.14347,80.17992,12.41086,5.16365,97.7499909,3416.791281,5.043372214,20.70239,188.7299772,82.626,68.3,2.299783996,8,11.4,123,54.92592,1.486,1.715568441,34,..,139.446,105.405
Kenya,0.601,Medium,143,66.7,11.33941359,6.564,4243.62556,5,141,-3,0.443,0.518,342,75.078,23.26139089,29.84,37.314,72.128,77.345,52.573967,2.322,27.5,7.00945,30.694153,1.274297,20.119,3.52,61.39415,3,11,26.19083,30.622535,41.117802,194.507,264.72,357.4,418.2,70.09764,292,4.7,58.253119,4.802543,81.53497,88.08,87.59,35.2,75.75718,103.20534,..,11.46471,5.32024,227.6385415,4329.87139,2.998930483,15.08514,180.5148122,72.722,101.6,4.928728024,2.1,9.7,97,33.40144,-0.197,1.987397833,17.8271,13.451,96.3202,36.9138
Cambodia,0.594,Medium,144,69.82,11.46772,4.966,4246.178107,3,144,0,0.475,0.474,160,50.177,19.2513369,15.08,28.22107809,76.305,88.871,16.486542,1.486,23.8,1.780445,10.581561,0.777796,25.631,2.5238,65.205032,6,16,32.44908,24.047354,27.995322,132.376,199.971,623.2,743.2,23.69294,302,0.5,61.203715,5.918842,80.52649,92.57328,91.86412,22.42,23.82233,107.41485,..,13.68776,2.16286,72.35615051,4388.800909,5.516827769,17.05209,127.6334661,81.756,190.8,..,3.2,9,106,123.5565,-1.861,0.477049705,40,40,119.492,62.5423
Equatorial Guinea,0.592,Medium,145,58.74,9.73494,5.910863,13944.13223,-57,145,-6,..,..,301,155.622,19.18604651,..,..,54.775,67.073,1.355982,3.656,72.6,0.195136,0.822003,0.032874,22.335,4.5543,7.4,23,47,26.2,62.620239,85.306654,294.556,334.453,692.7,758.5,269.00928,201,7.1,57.21051,3.107094,94.37054,98.29817,97.69076,..,43.36199,61.77515,..,..,..,25.16439341,18558.00385,-8.849975429,6.0846,124.3467228,57.981,42.8,..,10.8,31.3,..,107.3813,12.443,16.78608776,26.24,..,45.1669,2.853
Zambia,0.584,Medium,146,63.89,11.478083,7.152016,3325.518591,10,145,0,0.401,0.539,213,120.112,17.96407186,38.48815291,54.06777528,70.37,79.076,17.861034,2.929,44.1,2.9015,9.541752,0.377812,17.592,4.6555,69.863228,6,7,34.58727,40.446619,57.841743,221.573,321.143,523.8,590.5,156.70129,346,11.3,55.081757,4.470341,86.74796,91.62819,92.55964,44.43952351,7.5651,98.71552,..,..,4.66738,62.14731484,3479.492215,-1.193782535,16.16132,212.308759,66.091,148.3,5.371749635,6.2,17.5,90,70.03503,-0.467,0.95318691,14.3,13.1725,89.157,49.1232
Myanmar,0.583,Medium,147,67.13,10.67024,5.034490583,4960.528169,-6,148,3,..,0.478,250,28.509,11.56773212,28.74,23.48,47.497,77.361,54.045422,0.646,30.9,4.511004,36.790827,3.249082,28.983,2.17,51.237877,7,16,29.37111,36.832771,46.194269,149.971,247.696,691.6,853.8,3.40407,338,0.8,60.852022,4.659072,75.5512,84.41379,85.11967,25.83254076,8.53093,112.30667,68.43682,18.81594,1.9726,277.9098816,5142.154166,2.246355673,5.367,168.1827007,60.693,171.3,2.258451326,9.8,6.3,112,60.68899,-3.05,0.140618761,30.6782,..,113.844,112.67011
Angola,0.581,Medium,148,61.15,11.777202,5.173993233,6104.05464,-17,145,-4,0.397,0.536,241,150.526,30,23.13283672,38.05568485,76.136,78.913,31.825299,3.288,66.2,5.67047,16.287743,0.699952,16.677,5.55,37.381931,33,49,37.57114,51.58504,77.164501,220.291,327.044,511.8,572.2,228.90895,355,2,56.745929,2.7915,66.03011,70.58513,84.86238,30.23189851,39.61102,113.47796,50.67148,9.33626,..,211.7625746,6653.907673,-4.032613542,9.22378,..,72.157,79.4,..,4.6,14,110,66.37801,0.211,2.103606581,14.3391,20.1973,43.1305,2.8699
Congo,0.574,Medium,149,64.57,11.72662,6.517170529,2879.190985,13,149,-2,0.43,0.57,378,112.229,13.63636364,46.72,51.34,67.532,71.396,5.380504,2.556,67.4,0.812951,2.99917,0.146421,19.204,4.45,32.85508,18,27,21.18722,36.187355,50.111652,240.201,279.572,535.9,531.9,235.07431,375,2.6,57.018061,2.930279,80.29876,78.74231,85.34165,48.81725696,..,..,..,12.66688,3.63639,17.74527921,3298.067619,-3.407564247,8.96374,124.7404961,62.87,26.2,..,5,13.9,99,112.2509,-0.771,7.474052636,8.65,..,95.3405,8.3264
Zimbabwe,0.571,Medium,150,61.49,10.968732,8.4668,2665.612042,14,150,1,0.441,0.527,458,86.135,34.57142857,59.79201,70.78307,78.106,88.993,14.645473,1.463,32.2,2.138028,8.034705,0.436533,18.668,3.6255,41.897549,6,15,23.49697,33.900401,46.227775,337.702,373.207,581.3,599.6,51.00378,210,12.7,53.557018,6.635916,88.69342,93.18835,87.59186,64.93523,..,..,..,10.00655,4.60449,41.53379347,2835.948532,-9.395469552,20.65869,105.511849,78.982,137.1,..,11.1,29.1,84,50.00536,-8.15,2.808083702,27.0555,14.5812,89.4049,28.7641
Solomon Islands,0.567,Medium,151,73,10.22041433,5.711848,2253.346153,17,151,-3,..,..,104,78.003,4.081632653,..,..,82.096,85.551,0.669821,2.601,24.2,0.101949,0.376693,0.024321,19.889,4.435,76.2,2,19,31.68546,17.071263,19.971703,124.818,162.895,632.9,758,133.59027,74,..,52.728833,4.684919,76.6,..,..,..,84.07077,106.20649,..,..,..,1.585741546,2367.403846,0.092994259,29.54935,133.0620332,83.353,75,..,3.2,8.5,110,98.39379,-2.48,0.37801031,11.9242,..,73.8338,51.953
Syrian Arab Republic,0.567,Medium,151,72.7,8.8501,5.1,3613.05256,2,152,-2,..,0.482,31,38.592,13.2,37.12,43.372,14.446,74.119,17.070132,-0.56,54.8,1.826333,10.967587,0.800912,25.621,2.8398,42.6,28,41,27.89927,13.955636,16.740763,73.258,237.292,594.7,723.1,0,19,0.1,63.888621,..,..,..,..,40.96,..,..,..,40.05115,..,..,..,..,..,..,40.422,..,0.879312215,1.1,3.8,125,..,-24.08,5.084013688,34.2534,..,98.374,43.6239
Cameroon,0.563,Medium,153,59.29,12.10426,6.310862,3580.902737,1,153,1,0.375,0.56,529,105.8,29.28571429,32.66160371,41.34689093,71.108,81.1,25.876387,2.61,57,4.05854,14.209816,0.704787,18.688,4.603,39.413246,25,40,28.93166,50.555332,76.059983,281.332,317.692,660.9,739.7,246.98959,186,3.6,55.434234,4.670667,77.07104,82.41,87.72,37.27383201,34.46434,103.40212,60.05816,12.76025,3.14529,94.51830422,3652.686512,1.363589954,12.7553,118.6485883,73.501,129.6,1.388093415,12.5,26.9,120,40.55391,-0.193,1.95426099,23.203,19.2,69.0854,26.6266
Pakistan,0.557,Medium,154,67.27,8.27594,5.158944258,5005.034893,-15,154,2,0.384,0.538,140,38.802,20,27.56918,45.65944,21.919,81.743,216.565317,2.045,36.9,27.66807,131.28886,9.360839,22.782,3.55,47.465782,14,25,37.62959,57.181031,69.308919,137.509,172.896,681,744.4,3.38152,265,0.1,57.199943,2.898634,59.13205,67.53713,81.26352,37.31900721,83.14242,94.3282,42.67466,8.95842,2.89952,1015.796323,4690.484755,-1.039798675,..,182.3203864,50.232,39.4,3.88308273,3.1,3,110,30.43821,-1.11,1.50438585,15.51,9.49437,72.5571,17.2772
Papua New Guinea,0.555,Medium,155,64.5,10.199261,4.66,4301.098542,-10,156,-2,0.39,0.725,145,52.655,0,9.987125672,15.16,46.316,48.044,8.776119,1.97,13.2,1.095603,5.353834,0.307996,22.422,3.5883,59.681362,56,63,49.4543,37.96257,47.808852,187.7,251.144,620.2,820.6,184.46586,432,0.8,56.358027,2.469276,61.6,71.4,64.57,12.52705628,43.15852,108.54586,47.49616,..,1.9264,38.50607751,4387.602469,3.58027487,13.58753,155.9923731,46.032,59.1,..,3.8,10.2,101,..,-0.094,0.35564736,11.2092,..,47.6177,21.5035
Comoros,0.554,Medium,156,64.32,11.2447,5.078649,3099.445776,5,154,-4,0.303,..,273,65.351,6.060606061,..,..,36.581,49.943,0.850891,2.241,29.2,0.12249,0.490613,0.025997,20.37,4.2365,11.433165,4,10,31.13124,51.251858,67.468514,194.435,245.527,627.5,742.7,18.75837,35,0.1,60.339878,7.384374,58.81702,78.30236,78.23941,..,21.80786,99.50663,59.46886,8.99478,2.48708,2.621906231,3081.383677,0.474294075,..,..,41.405,27,..,5.4,17.6,103,43.09452,-2.429,1.469527058,8.47817,..,59.9411,35.9771
Mauritania,0.546,Low,157,64.93,8.58834,4.726,5134.570124,-21,157,-2,0.371,0.634,766,71.049,20.26143791,12.74896857,25.03682561,28.85,63.055,4.525698,2.78,54.5,0.67901,2.577601,0.142846,20.114,4.585,40.3,11,22,22.8308,51.542913,75.674213,176.149,218.359,635.9,669.1,39.41465,93,0.2,62.168771,4.403152,53.49759,56.76072,70.93633,18.9543303,10.49137,99.89176,36.83391,4.99912,2.63107,23.52017273,5197.028861,3.06609884,..,135.0188968,41.503,46.1,..,3.6,12.1,125,94.21841,1.15,3.822329206,20.801,..,103.706,24.2585
Benin,0.545,Low,158,61.77,12.61455,3.826328,3254.245627,0,158,-1,0.343,0.612,397,86.096,7.228915663,18.33432267,33.94317184,68.808,72.983,11.801151,2.731,47.9,1.874203,6.435121,0.385292,18.781,4.8675,41.401615,16,29,32.17236,60.535739,92.986471,211.008,258.647,617.5,671.2,386.18237,56,1,56.644148,3.718582,42.3624,51.94362,69.76118,26.59185824,25.45034,121.95825,59.04252,12.27414,4.03814,38.79403624,3287.309538,4.003206857,..,110.7090955,69.285,69.8,1.127497407,9.6,22.6,124,63.68133,-0.176,3.305711451,20,..,82.3843,5.4769
Uganda,0.544,Low,159,63.37,11.412656,6.171951533,2123.26935,15,160,2,0.399,0.535,375,118.836,34.8583878,27.48236041,35.13158644,66.998,73.921,44.269587,3.59,24.4,7.685529,22.815428,0.868817,16.733,5.01,65.463127,1,13,28.91719,33.807619,46.434746,233.267,302.371,587.1,701.9,289.18458,200,5.7,57.754606,6.187756,76.5275,89.95064,88.8269,32.20336131,14.40808,102.70471,..,4.83664,2.52076,96.5629564,2181.247843,2.786756962,11.7392,173.8712682,69.04,118.8,10.52446028,18.7,21.2,90,46.01886,4.018,3.917284627,23.7065,..,57.2726,17.7136
Rwanda,0.543,Low,160,69.02,11.18666,4.417150539,2155.334054,12,159,-1,0.387,0.402,248,39.114,55.66037736,10.94261001,15.76883,83.932,83.361,12.626938,2.607,17.3,1.848859,7.223329,0.38237,20.039,4.1,86.929436,1,4,38.2536,27.020781,35.26882,161.59,216.342,508.6,597.9,486.48733,59,2.5,59.832451,6.571598,73.21559,88.50182,84.32593,13.13743,22.46703,133.04155,40.89606,6.72572,3.11334,28.11037812,2226.220751,6.590858434,14.26328,151.0893686,82.793,509.1,2.577168608,6,16.9,97,53.66138,-0.74,4.276028653,21.7676,..,78.8541,43.5055
Nigeria,0.539,Low,161,54.69,9.975095,6.65519163,4910.208257,-19,161,-3,0.348,..,917,107.33,4.112554113,..,..,47.872,57.875,200.963603,2.586,51.2,33.409363,107.65497,5.5126,18.064,5.4168,28.677341,35,46,36.81564,75.671511,119.913629,324.961,364.321,830.6,793.3,291.94251,219,1.5,56.038691,3.755539,62.01601,68.26263,81.58064,..,..,84.72564,42.00254,..,..,1032.048476,5135.499571,-0.379722447,..,267.5115151,48.623,36.5,34.5240459,17.1,17.5,116,33.00784,-0.31,0.625191829,42,6.36075,88.1842,33.1078
Côte d'Ivoire,0.538,Low,162,57.78,9.95474,5.288,5068.606313,-25,161,7,0.346,0.638,617,117.627,13.27683616,17.94919663,34.35813313,48.157,65.54,25.716554,2.545,51.2,4.050288,14.250103,0.738872,18.854,4.68,23.128265,2,24,21.62928,59.403494,80.877857,325.098,360.552,935.2,955,330.59816,142,2.6,56.193255,4.453034,47.16535,53.0251,63.84492,26.78,8.2043,99.79975,51.02666,9.34137,4.36816,134.7099658,5238.260856,4.162738389,11.82721,111.6069779,55.064,66,..,13,32,123,45.59708,-0.323,9.912455577,46.8237,36.403,134.858,58.8872
Tanzania (United Republic of),0.529,Low,163,65.46,8.0976,6.122,2599.847211,2,164,-1,0.397,0.556,524,118.385,36.8956743,12.01460577,16.93175295,79.565,87.338,58.005461,2.973,34.5,9.52815,31.053601,1.520059,17.992,4.9237,57.8,9,12,31.8,37.605413,53.028608,193.172,249.798,518.8,562.7,124.26534,253,4.6,58.734702,3.645451,77.88723,84.6408,87.0131,14.38320053,41.40451,94.16869,29.43508,4.01016,3.69644,149.7854827,2660.420338,2.719899605,11.49395,187.4301589,81.761,66.8,6.48265759,5.4,14.3,109,32.23894,-0.721,0.877789735,25,..,77.2414,29.9235
Madagascar,0.528,Low,164,67.04,10.17392,6.1,1596.28108,16,163,-4,0.39,..,335,109.59,16.90140845,..,..,83.372,88.938,26.969306,2.667,37.9,4.022642,15.261687,0.820964,19.568,4.1085,50.622208,15,31,41.62704,38.183232,53.567301,181.739,232.545,594.7,660.4,82.39678,233,0.3,57.599337,5.502038,74.80432,80.67803,81.71984,0,39.60987,142.53428,36.52693,5.35049,3.23481,44.3974137,1646.220042,2.052906528,10.21585,184.3297364,84.613,94.9,..,3.6,10.5,88,59.82215,-0.058,0.129532435,9.8,..,40.5703,4.1111
Lesotho,0.527,Low,165,54.33,11.31561,6.53928325,3150.620131,-6,165,2,0.382,0.553,544,92.726,23.02631579,33.0426436,25.49245512,60.159,75.939,2.125267,0.793,28.6,0.25295,1.330575,0.104681,24.01,3.1641,59.005611,8,10,34.6015,65.666138,81.113993,419.363,545.675,736.5,827.9,..,611,23.6,45.241819,8.763158,76.6352,93.96988,79.60804,30.12832896,38.93557,120.8975,62.01393,10.19626,6.51166,5.882134594,2767.714281,0.697479634,31.57259,155.8581951,51.996,101.5,43.56460456,32.6,22.7,93,134.6219,-4.783,0.325982417,29,..,113.831,64.3493
Djibouti,0.524,Low,166,67.11,6.791215,4.1,5689.348966,-34,166,3,..,..,248,18.841,26.15384615,..,..,50.71,68.792,0.973557,1.557,77.9,0.100062,0.644355,0.044875,26.57,2.7577,12.4,10,17,33.47891,49.80543,59.344393,178.345,232.137,565.5,658.7,35.20855,260,1.2,58.936441,3.316518,..,..,..,..,9.18032,75.28794,51.97055,..,5.55942,5.373401727,5519.332888,5.854223408,..,120.2509224,54.041,69,..,5.3,11.9,112,298.2663,0.947,11.84734377,55.6814,51.6488,41.1959,21.4847
Togo,0.515,Low,167,61.04,12.66498,4.949925584,1602.34934,12,168,1,0.351,0.573,396,89.091,16.48351648,27.62,54.39332055,76.277,78.936,8.082359,2.453,42.2,1.204087,4.535357,0.233363,19.35,4.3515,64.329567,10,25,23.78393,47.361632,69.767457,244.396,277.736,782.8,812,267.30861,36,2.3,57.007678,6.199512,63.74562,78.37085,89.67247,40.76200747,22.83068,123.76463,61.84573,14.52393,5.42885,12.89888415,1595.92923,2.79421744,16.87584,113.2969293,76.011,64.8,..,10.9,22.7,108,71.24105,-0.256,3.453716399,12.3602,8.61106,77.8861,37.3627
Senegal,0.512,Low,168,67.94,8.58486,3.183085,3309.385734,-11,167,-3,0.348,0.533,315,72.725,41.81818182,10.2595,26.47567507,35.048,57.514,16.296362,2.77,47.7,2.584897,8.810104,0.504949,18.514,4.65,42.088467,3,10,18.83277,31.826668,43.627875,144.704,216.045,583.4,683,55.75255,118,0.4,59.862832,4.134064,51.90042,63.50271,75.57641,17.82484,16.5383,80.95004,43.70155,12.76259,4.65201,55.32401782,3394.868808,2.415936541,16.29416,109.2512702,42.667,78.8,0.267518152,5.2,20.3,112,60.5064,-1.277,1.688959574,46,..,104.451,38.6392
Afghanistan,0.511,Low,169,64.83,10.17643,3.93,2229.362021,0,169,-5,..,0.655,638,68.957,27.24358974,13.22,36.92,21.595,74.658,38.041757,2.465,25.8,5.638783,20.889488,0.995078,18.438,4.5552,57.5,27,36,38.19278,47.864949,62.276411,192.532,237.554,805.3,904.5,29.00589,189,0.1,54.111276,11.777194,43.01972,56.25475,74.0848,26.08,..,103.99616,55.42521,9.68642,4.05887,83.77853654,2202.278489,0.549627731,9.25047,149.8959752,43.456,82.7,6.655561152,2.1,10.6,95,45.62118,-1.716,0.393677957,13.5,..,59.1208,24.1177
Haiti,0.51,Low,170,64,9.7,5.592369636,1708.809043,7,170,-1,0.303,0.636,480,51.676,2.739726027,26.86,40.02036707,61.874,72.798,11.263079,1.28,56.2,1.265895,6.991871,0.570332,24.008,2.96,39.875298,25,35,21.9461,49.49647,64.76362,197.41,257.443,701.6,812.4,1.61003,176,2,55.427352,8.035501,61.69135,82.63483,83.3535,33.54,..,..,..,..,2.78047,19.47284724,1728.91007,-2.165378401,..,179.2910955,57.926,79.9,6.67974266,6.4,18.3,91,74.30852,-3.168,0.16652643,32.4736,..,57.5289,17.3252
Sudan,0.51,Low,170,65.31,7.884416,3.77,3828.660219,-18,171,-5,0.333,0.545,295,63.993,27.53623188,15.43678948,19.49766664,29.103,68.197,42.813237,2.394,34.9,6.246041,24.06831,1.552966,19.659,4.4345,54.595383,3,10,38.24354,42.142033,60.473423,187.141,244.878,700.1,795.5,46.75192,71,0.2,61.422774,6.341808,60.69718,73.49,72.51,17.53873656,46.62576,76.81606,46.62174,16.91901,..,169.4748493,3958.46839,-4.858183487,7.96145,1344.192762,40.43,51.5,..,4.6,14.5,114,26.72186,-1.208,2.856807981,30.8703,11,72.0079,19.6321
Gambia,0.496,Low,172,62.05,9.911519,3.922,2167.883472,-1,172,1,0.335,0.612,597,78.185,10.34482759,31.46365385,44.352595,51.179,67.989,2.347696,2.944,61.9,0.401239,1.251604,0.060119,17.844,5.25,53.287727,7,15,18.96721,39.033081,58.364953,224.406,279.951,690.6,767,65.99734,174,1.9,58.317147,3.282071,50.77797,64.44683,70.74348,36.84,41.67164,98.01438,..,..,2.43275,5.18118267,2206.912906,2.923566813,9.39409,172.7304356,54.021,55.4,..,7.3,12.8,114,65.48445,-1.371,9.175169293,19.8365,..,139.529,57.087
Ethiopia,0.485,Low,173,66.6,8.813018308,2.883189,2206.534378,-3,174,5,0.348,0.517,401,66.727,37.28571429,11.47565483,22.57430843,73.441,85.755,112.078727,2.623,21.2,16.560822,62.928682,3.941448,19.466,4.3,58.8,20,42,36.8,39.149078,55.24465,184.812,236.779,522.9,589.8,31.81495,151,1,60.220701,3.502557,51.77118,71.97251,73.52072,17.19400991,29.43704,100.97149,34.93947,8.10532,4.73792,248.7821427,2219.708795,5.523892966,7.51992,..,77.895,115.9,..,4.7,18.7,105,28.74202,0.278,1.118038186,18.6181,..,36.2007,28.38007
Malawi,0.483,Low,174,64.26,11.24191,4.73,1034.677638,13,174,0,0.345,0.565,349,132.671,22.91666667,17.58,26.05175781,72.593,81.102,18.628749,2.663,17.2,2.877113,10.0389,0.492177,18.08,4.25,59.439594,3,8,38.99144,35.315822,49.667492,212.388,325.106,488.2,611.9,213.64025,181,9.2,56.579912,9.648231,62.14354,73.3858,72.49172,21.8774946,83.58057,142.45782,40.28176,..,4.71484,19.74132079,1059.72349,1.649562326,17.25367,418.3443255,72.381,76.8,..,3.2,13.7,111,66.60451,-0.895,1.329407716,13.7822,5.50001,39.0058,17.5653
Congo (Democratic Republic of the),0.48,Low,175,60.68,9.729686667,6.76008,1062.543004,11,174,0,0.335,0.617,473,124.22,11.98686371,36.73039,65.81281,60.722,66.261,86.790568,3.22,45,15.50276,44.247271,2.618419,16.988,5.9635,47.336025,34,43,42.69177,68.180083,88.103538,224.637,273.573,575.3,594.6,319.84102,321,0.8,56.335672,3.978723,77.04268,79.71484,90.96097,50.66579906,4.44439,107.97708,46.16579,6.60334,1.45495,95.29160347,1097.948853,1.110159506,..,133.8509266,60.774,27,..,4.9,15,..,67.28728,0.288,1.110527369,8.6199,..,43.3822,25.0742
Guinea-Bissau,0.48,Low,175,58.32,10.62385,3.5626,1996.042927,1,178,1,0.3,..,667,104.823,13.7254902,..,..,65.835,78.653,1.920917,2.495,43.8,0.301657,1.05618,0.055,18.833,4.51,52.541714,15,14,27.61325,54.016176,81.475168,301.21,373.99,669.1,690.5,123.31191,361,3.5,53.61472,7.235869,45.58116,49.75632,71.25033,..,..,..,..,..,2.13249,3.821419107,1989.367141,2.061873241,10.32283,106.9404862,70.19,32.6,1.148704753,6.1,8.9,98,57.00856,-0.755,1.401202131,3.93051,..,78.9889,34.5015
Liberia,0.48,Low,175,64.1,9.57967,4.806,1258.410853,8,173,-3,0.325,0.65,661,135.962,11.65048544,18.54536769,40.11511391,72.058,80.615,4.937374,2.46,51.6,0.73015,2.763022,0.162229,19.411,4.35,54.577816,6,15,30.13605,53.482193,70.936723,207.08,247.482,599.1,633.6,361.50398,308,1.3,56.885966,8.155338,48.30136,45.63871,64.95713,29.21433162,125.17882,85.10919,37.9035,..,2.58412,7.049676851,1427.81909,-4.621588492,12.90917,223.129788,74.167,50.3,..,13,13.8,97,127.4523,-1.049,1.912919702,7.98448,..,56.569,16.1896
